Source, Target, Weight
Harry Potter, Ron Weasley, 292
Harry Potter, Prof. Sprout, 3
Harry Potter, Percy Weasley, 15
Harry Potter, Bloody Baron, 3
Harry Potter, Vincent Crabbe, 15
Harry Potter, Minerva McGonagoll , 42
Harry Potter, Firenze, 13
Harry Potter, Bane, 5
Harry Potter, Marcus Flint, 8
Harry Potter, Irma Pince, 2
Harry Potter, James Potter, 6
Harry Potter, Peeves, 7
Harry Potter, Fat Friar, 1
Harry Potter, Dean Thomas, 6
Harry Potter, Lavender Brown, 2
Harry Potter, Griphook, 5
Harry Potter, Seamus Finnigan, 12
Harry Potter, Perenelle Flamel, 1
Harry Potter, Dudley Dursley, 75
Harry Potter, Gregory Goyle, 14
Harry Potter, Ginny Weasley, 2
Harry Potter, Prof. Dumbledore, 66
Harry Potter, Hannah Abbott, 1
Harry Potter, Angelina Johnson, 1
Harry Potter, Lee Jordan, 5
Harry Potter, Molly Weasley, 3
Harry Potter, Fred Weasley, 29
Harry Potter, Millicent Bulstrode, 2
Harry Potter, Vernon Dursley, 72
Harry Potter, Lisa Turpin, 2
Harry Potter, Neville Longbottom, 56
Harry Potter, Dedalus Diggle, 3
Harry Potter, Justin Finch-Fletchley, 1
Harry Potter, Madame Hooch, 7
Harry Potter, Doris Crockford, 6
Harry Potter, Madame Malkin, 9
Harry Potter, terence, 1
Harry Potter, Arthur Weasley, 2
Harry Potter, George Weasley, 17
Harry Potter, Oliver Wood, 31
Harry Potter, Parvati Patil , 2
Harry Potter, Prof. Quirrell, 66
Harry Potter, Madame Pomfrey, 7
Harry Potter, Blaise Zabini, 1
Harry Potter, filius, 8
Harry Potter, Ronan, 6
Harry Potter, Arabella Figg, 7
Harry Potter, Lord Voldemort, 29
Harry Potter, Hermione Granger, 182
Harry Potter, Piers Polkiss, 9
Harry Potter, Hedwig, 9
Harry Potter, Petunia Dursley, 35
Harry Potter, Draco Malfoy, 66
Harry Potter, Ollivander, 17
Harry Potter, Lily Potter, 6
Harry Potter, Fat Lady, 4
Harry Potter, Filch, 25
Harry Potter, Prof. Snape, 94
Harry Potter, Susan Bones, 1
Harry Potter, Charlie Weasley, 11
Hermione Granger, Ron Weasley, 148
Hermione Granger, Percy Weasley, 2
Hermione Granger, Bloody Baron, 2
Hermione Granger, Minerva McGonagoll , 13
Hermione Granger, Bane, 2
Hermione Granger, Marcus Flint, 1
Hermione Granger, Irma Pince, 2
Hermione Granger, Peeves, 1
Hermione Granger, Harry Potter, 165
Hermione Granger, Dean Thomas, 2
Hermione Granger, Lavender Brown, 1
Hermione Granger, Seamus Finnigan, 3
Hermione Granger, Perenelle Flamel, 1
Hermione Granger, Ginny Weasley, 1
Hermione Granger, Prof. Dumbledore, 7
Hermione Granger, Vernon Dursley, 1
Hermione Granger, Neville Longbottom, 33
Hermione Granger, Nicolas Flamel, 8
Hermione Granger, Madame Hooch, 2
Hermione Granger, George Weasley, 1
Hermione Granger, Parvati Patil , 2
Hermione Granger, Prof. Quirrell, 7
Hermione Granger, Madame Pomfrey, 3
Hermione Granger, filius, 2
Hermione Granger, elfric, 1
Hermione Granger, Ronan, 6
Hermione Granger, Lord Voldemort, 4
Hermione Granger, Draco Malfoy, 12
Hermione Granger, Fat Lady, 5
Hermione Granger, Filch, 3
Hermione Granger, Prof. Snape, 32
Hermione Granger, Charlie Weasley, 3
Ron Weasley, Prof. Sprout, 1
Ron Weasley, Percy Weasley, 8
Ron Weasley, Bloody Baron, 2
Ron Weasley, Vincent Crabbe, 4
Ron Weasley, Minerva McGonagoll , 9
Ron Weasley, Marcus Flint, 2
Ron Weasley, Irma Pince, 2
Ron Weasley, Peeves, 3
Ron Weasley, Harry Potter, 269
Ron Weasley, Dean Thomas, 8
Ron Weasley, Lavender Brown, 2
Ron Weasley, Seamus Finnigan, 4
Ron Weasley, Perenelle Flamel, 1
Ron Weasley, Dudley Dursley, 2
Ron Weasley, Gregory Goyle, 6
Ron Weasley, Ginny Weasley, 2
Ron Weasley, Prof. Dumbledore, 13
Ron Weasley, Lee Jordan, 3
Ron Weasley, Molly Weasley, 1
Ron Weasley, Fred Weasley, 8
Ron Weasley, Millicent Bulstrode, 1
Ron Weasley, Lisa Turpin, 2
Ron Weasley, Neville Longbottom, 25
Ron Weasley, George Weasley, 12
Ron Weasley, Oliver Wood, 2
Ron Weasley, Parvati Patil , 1
Ron Weasley, Prof. Quirrell, 6
Ron Weasley, Madame Pomfrey, 2
Ron Weasley, Blaise Zabini, 1
Ron Weasley, filius, 4
Ron Weasley, elfric, 1
Ron Weasley, Bill Weasley, 2
Ron Weasley, Lord Voldemort, 11
Ron Weasley, Hermione Granger, 144
Ron Weasley, Hedwig, 4
Ron Weasley, Petunia Dursley, 1
Ron Weasley, Draco Malfoy, 33
Ron Weasley, Nearly Headless Nick, 1
Ron Weasley, Fat Lady, 1
Ron Weasley, Filch, 4
Ron Weasley, Prof. Snape, 41
Vernon Dursley, Harry Potter, 66
Vernon Dursley, Dudley Dursley, 37
Vernon Dursley, Prof. Dumbledore, 1
Vernon Dursley, Molly Weasley, 2
Vernon Dursley, Marge Dursley, 6
Vernon Dursley, Arabella Figg, 2
Vernon Dursley, Hermione Granger, 1
Vernon Dursley, Piers Polkiss, 3
Vernon Dursley, Rubeus Hagrid, 7
Vernon Dursley, Petunia Dursley, 29
Petunia Dursley, Ron Weasley, 1
Petunia Dursley, Harry Potter, 31
Petunia Dursley, Dudley Dursley, 28
Petunia Dursley, Prof. Dumbledore, 1
Petunia Dursley, Vernon Dursley, 27
Petunia Dursley, Marge Dursley, 2
Petunia Dursley, Arabella Figg, 2
Petunia Dursley, Piers Polkiss, 2
Petunia Dursley, Rubeus Hagrid, 2
Petunia Dursley, Hedwig, 1
Dudley Dursley, Ron Weasley, 1
Dudley Dursley, Harry Potter, 68
Dudley Dursley, Molly Weasley, 1
Dudley Dursley, Justin Finch-Fletchley, 1
Dudley Dursley, Madame Malkin, 1
Dudley Dursley, vindictus, 1
Dudley Dursley, Marge Dursley, 3
Dudley Dursley, Arabella Figg, 2
Dudley Dursley, Piers Polkiss, 15
Dudley Dursley, Rubeus Hagrid, 4
Dudley Dursley, Petunia Dursley, 31
Dudley Dursley, Draco Malfoy, 1
Lily Potter, Minerva McGonagoll , 1
Lily Potter, James Potter, 5
Lily Potter, Harry Potter, 4
Lily Potter, Prof. Dumbledore, 2
Lily Potter, Lord Voldemort, 1
Lily Potter, Rubeus Hagrid, 1
James Potter, Minerva McGonagoll , 2
James Potter, Harry Potter, 4
James Potter, Prof. Dumbledore, 2
James Potter, Rubeus Hagrid, 1
James Potter, Lily Potter, 5
Lord Voldemort, Minerva McGonagoll , 2
Lord Voldemort, Firenze, 3
Lord Voldemort, Bane, 3
Lord Voldemort, Harry Potter, 28
Lord Voldemort, Prof. Dumbledore, 8
Lord Voldemort, Fred Weasley, 1
Lord Voldemort, Hermione Granger, 4
Lord Voldemort, Rubeus Hagrid, 5
Lord Voldemort, Draco Malfoy, 1
Lord Voldemort, Lily Potter, 1
Lord Voldemort, Prof. Snape, 7
Prof. Dumbledore, Ron Weasley, 14
Prof. Dumbledore, Percy Weasley, 1
Prof. Dumbledore, Cornelius Fudge, 2
Prof. Dumbledore, Minerva McGonagoll , 21
Prof. Dumbledore, Firenze, 2
Prof. Dumbledore, Bane, 2
Prof. Dumbledore, James Potter, 3
Prof. Dumbledore, Harry Potter, 75
Prof. Dumbledore, Grindelwald, 2
Prof. Dumbledore, Griphook, 1
Prof. Dumbledore, Fred Weasley, 2
Prof. Dumbledore, Vernon Dursley, 1
Prof. Dumbledore, Neville Longbottom, 2
Prof. Dumbledore, Dedalus Diggle, 1
Prof. Dumbledore, Nicolas Flamel, 5
Prof. Dumbledore, Oliver Wood, 1
Prof. Dumbledore, Prof. Quirrell, 7
Prof. Dumbledore, Madame Pomfrey, 2
Prof. Dumbledore, filius, 1
Prof. Dumbledore, Lord Voldemort, 7
Prof. Dumbledore, Hermione Granger, 8
Prof. Dumbledore, Rubeus Hagrid, 23
Prof. Dumbledore, Hedwig, 2
Prof. Dumbledore, Petunia Dursley, 1
Prof. Dumbledore, Draco Malfoy, 1
Prof. Dumbledore, Lily Potter, 3
Prof. Dumbledore, Sirius Black, 2
Prof. Dumbledore, Filch, 1
Prof. Dumbledore, Prof. Snape, 9
Minerva McGonagoll , Ron Weasley, 9
Minerva McGonagoll , Prof. Sprout, 2
Minerva McGonagoll , Percy Weasley, 1
Minerva McGonagoll , Vincent Crabbe, 1
Minerva McGonagoll , Alicia Spinnet, 1
Minerva McGonagoll , James Potter, 1
Minerva McGonagoll , Peeves, 2
Minerva McGonagoll , Harry Potter, 34
Minerva McGonagoll , Gregory Goyle, 1
Minerva McGonagoll , Lee Jordan, 2
Minerva McGonagoll , Neville Longbottom, 3
Minerva McGonagoll , Oliver Wood, 6
Minerva McGonagoll , Prof. Quirrell, 4
Minerva McGonagoll , Madame Pomfrey, 1
Minerva McGonagoll , Blaise Zabini, 1
Minerva McGonagoll , filius, 4
Minerva McGonagoll , Lord Voldemort, 2
Minerva McGonagoll , Rubeus Hagrid, 9
Minerva McGonagoll , Emetic Switch, 1
Minerva McGonagoll , Draco Malfoy, 4
Minerva McGonagoll , Lily Potter, 1
Minerva McGonagoll , Sirius Black, 1
Minerva McGonagoll , Filch, 2
Minerva McGonagoll , Prof. Snape, 9
Minerva McGonagoll , Charlie Weasley, 1
Dedalus Diggle, Harry Potter, 7
Dedalus Diggle, Prof. Dumbledore, 2
Madame Pomfrey, Ron Weasley, 2
Madame Pomfrey, Minerva McGonagoll , 1
Madame Pomfrey, Harry Potter, 6
Madame Pomfrey, Prof. Dumbledore, 2
Madame Pomfrey, Neville Longbottom, 1
Madame Pomfrey, Prof. Quirrell, 1
Madame Pomfrey, Hermione Granger, 3
Madame Pomfrey, Draco Malfoy, 1
Rubeus Hagrid, Percy Weasley, 1
Rubeus Hagrid, Cornelius Fudge, 1
Rubeus Hagrid, Minerva McGonagoll , 13
Rubeus Hagrid, Firenze, 3
Rubeus Hagrid, Bane, 4
Rubeus Hagrid, Marcus Flint, 2
Rubeus Hagrid, James Potter, 1
Rubeus Hagrid, Peeves, 1
Rubeus Hagrid, Harry Potter, 195
Rubeus Hagrid, Dean Thomas, 1
Rubeus Hagrid, Griphook, 4
Rubeus Hagrid, Seamus Finnigan, 1
Rubeus Hagrid, Dudley Dursley, 4
Rubeus Hagrid, Prof. Dumbledore, 26
Rubeus Hagrid, Fred Weasley, 2
Rubeus Hagrid, Vernon Dursley, 9
Rubeus Hagrid, Neville Longbottom, 9
Rubeus Hagrid, Nicolas Flamel, 3
Rubeus Hagrid, Doris Crockford, 1
Rubeus Hagrid, Madame Malkin, 2
Rubeus Hagrid, George Weasley, 1
Rubeus Hagrid, Prof. Quirrell, 4
Rubeus Hagrid, filius, 2
Rubeus Hagrid, Ronan, 12
Rubeus Hagrid, Lord Voldemort, 5
Rubeus Hagrid, Hermione Granger, 32
Rubeus Hagrid, Hedwig, 3
Rubeus Hagrid, Petunia Dursley, 2
Rubeus Hagrid, Draco Malfoy, 12
Rubeus Hagrid, Ollivander, 5
Rubeus Hagrid, Lily Potter, 1
Rubeus Hagrid, Sirius Black, 1
Rubeus Hagrid, Filch, 4
Rubeus Hagrid, Charlie Weasley, 6
Sirius Black, Minerva McGonagoll , 1
Sirius Black, Prof. Dumbledore, 2
Sirius Black, Rubeus Hagrid, 1
Marge Dursley, Dudley Dursley, 2
Marge Dursley, Vernon Dursley, 4
Marge Dursley, Petunia Dursley, 2
Arabella Figg, Harry Potter, 7
Arabella Figg, Dudley Dursley, 3
Arabella Figg, Vernon Dursley, 2
Arabella Figg, Piers Polkiss, 1
Arabella Figg, Petunia Dursley, 3
Piers Polkiss, Harry Potter, 8
Piers Polkiss, Dudley Dursley, 15
Piers Polkiss, Vernon Dursley, 5
Piers Polkiss, Arabella Figg, 1
Piers Polkiss, Petunia Dursley, 3
Cornelius Fudge, Ron Weasley, 1
Cornelius Fudge, Cornelius Fudge, 2
Cornelius Fudge, Harry Potter, 2
Cornelius Fudge, Prof. Dumbledore, 2
Cornelius Fudge, Molly Weasley, 1
Cornelius Fudge, Rubeus Hagrid, 1
Miranda Goshawk, Bathilda Bagshot, 2
Miranda Goshawk, Adalbert Waffling Waffling, 2
Bathilda Bagshot, Miranda Goshawk, 2
Bathilda Bagshot, Emetic Switch, 2
Bathilda Bagshot, Adalbert Waffling Waffling, 2
Adalbert Waffling, Miranda Goshawk, 2
Adalbert Waffling, Bathilda Bagshot, 2
Adalbert Waffling, Emetic Switch, 2
Emetic Switch, Bathilda Bagshot, 1
Emetic Switch, Phyllida Spore, 2
Emetic Switch, Adalbert Waffling Waffling, 1
Phyllida Spore, arsenus, 2
Phyllida Spore, Emetic Switch, 2
Arsenus Jigger, Phyllida Spore, 1
Arsenus Jigger, Newt Scamander, 1
Newt Scamander, arsenus, 1
Newt Scamander, Phyllida Spore, 1
Newt Scamander, Quentin Trimble, 1
Quentin Trimble, Newt Scamander, 1
Doris Crockford, Harry Potter, 3
Doris Crockford, Rubeus Hagrid, 1
Prof. Quirrell, Ron Weasley, 8
Prof. Quirrell, Percy Weasley, 2
Prof. Quirrell, Minerva McGonagoll , 4
Prof. Quirrell, Harry Potter, 66
Prof. Quirrell, Seamus Finnigan, 2
Prof. Quirrell, Prof. Dumbledore, 7
Prof. Quirrell, Fred Weasley, 1
Prof. Quirrell, Nicolas Flamel, 1
Prof. Quirrell, Madame Pomfrey, 1
Prof. Quirrell, filius, 1
Prof. Quirrell, Lord Voldemort, 11
Prof. Quirrell, Hermione Granger, 7
Prof. Quirrell, Rubeus Hagrid, 5
Prof. Quirrell, Ollivander, 1
Prof. Quirrell, Filch, 1
Prof. Quirrell, Prof. Snape, 26
Griphook, Harry Potter, 6
Griphook, Prof. Dumbledore, 1
Griphook, Rubeus Hagrid, 5
Madame Malkin, Harry Potter, 7
Madame Malkin, Dudley Dursley, 1
Madame Malkin, Rubeus Hagrid, 2
Draco Malfoy, Ron Weasley, 13
Draco Malfoy, Vincent Crabbe, 11
Draco Malfoy, Minerva McGonagoll , 2
Draco Malfoy, Harry Potter, 27
Draco Malfoy, Dudley Dursley, 1
Draco Malfoy, Gregory Goyle, 13
Draco Malfoy, Fred Weasley, 1
Draco Malfoy, Neville Longbottom, 12
Draco Malfoy, Arthur Weasley, 2
Draco Malfoy, George Weasley, 1
Draco Malfoy, Parvati Patil , 2
